"STATISTIC","Statistic Label","TLIST(D1)","Day","C04236V05009","Supply Type","UNIT","VALUE"
"NGSD01C01","Networked Gas Daily Supply","2018M02D02","2018 February 02","-","All networked gas supply","Gigawatt hours","185.044729"
"NGSD01C01","Networked Gas Daily Supply","2018M02D02","2018 February 02","10","Networked gas supply - indigenous production","Gigawatt hours","113.605428"
"NGSD01C01","Networked Gas Daily Supply","2018M02D02","2018 February 02","20","Networked gas supply - imports","Gigawatt hours","71.439301"
"NGSD01C01","Networked Gas Daily Supply","2018M02D03","2018 February 03","-","All networked gas supply","Gigawatt hours","153.108807"
"NGSD01C01","Networked Gas Daily Supply","2018M02D03","2018 February 03","10","Networked gas supply - indigenous production","Gigawatt hours","112.535808"
"NGSD01C01","Networked Gas Daily Supply","2018M02D03","2018 February 03","20","Networked gas supply - imports","Gigawatt hours","40.572999"
"NGSD01C01","Networked Gas Daily Supply","2018M02D04","2018 February 04","-","All networked gas supply","Gigawatt hours","171.908459"
"NGSD01C01","Networked Gas Daily Supply","2018M02D04","2018 February 04","10","Networked gas supply - indigenous production","Gigawatt hours","112.241405"
"NGSD01C01","Networked Gas Daily Supply","2018M02D04","2018 February 04","20","Networked gas supply - imports","Gigawatt hours","59.667054"
"NGSD01C01","Networked Gas Daily Supply","2018M02D05","2018 February 05","-","All networked gas supply","Gigawatt hours","195.789347"
"NGSD01C01","Networked Gas Daily Supply","2018M02D05","2018 February 05","10","Networked gas supply - indigenous production","Gigawatt hours","112.10584"
"NGSD01C01","Networked Gas Daily Supply","2018M02D05","2018 February 05","20","Networked gas supply - imports","Gigawatt hours","83.683507"
"NGSD01C01","Networked Gas Daily Supply","2018M02D06","2018 February 06","-","All networked gas supply","Gigawatt hours","191.643224"
"NGSD01C01","Networked Gas Daily Supply","2018M02D06","2018 February 06","10","Networked gas supply - indigenous production","Gigawatt hours","111.972354"
"NGSD01C01","Networked Gas Daily Supply","2018M02D06","2018 February 06","20","Networked gas supply - imports","Gigawatt hours","79.67087"
"NGSD01C01","Networked Gas Daily Supply","2018M02D07","2018 February 07","-","All networked gas supply","Gigawatt hours","195.767824"
"NGSD01C01","Networked Gas Daily Supply","2018M02D07","2018 February 07","10","Networked gas supply - indigenous production","Gigawatt hours","112.686713"
"NGSD01C01","Networked Gas Daily Supply","2018M02D07","2018 February 07","20","Networked gas supply - imports","Gigawatt hours","83.081111"
"NGSD01C01","Networked Gas Daily Supply","2018M02D08","2018 February 08","-","All networked gas supply","Gigawatt hours","170.447804"
"NGSD01C01","Networked Gas Daily Supply","2018M02D08","2018 February 08","10","Networked gas supply - indigenous production","Gigawatt hours","111.773513"
"NGSD01C01","Networked Gas Daily Supply","2018M02D08","2018 February 08","20","Networked gas supply - imports","Gigawatt hours","58.674291"
"NGSD01C01","Networked Gas Daily Supply","2018M02D09","2018 February 09","-","All networked gas supply","Gigawatt hours","169.812258"
"NGSD01C01","Networked Gas Daily Supply","2018M02D09","2018 February 09","10","Networked gas supply - indigenous production","Gigawatt hours","111.581839"
"NGSD01C01","Networked Gas Daily Supply","2018M02D09","2018 February 09","20","Networked gas supply - imports","Gigawatt hours","58.230419"
"NGSD01C01","Networked Gas Daily Supply","2018M02D10","2018 February 10","-","All networked gas supply","Gigawatt hours","136.423259"
"NGSD01C01","Networked Gas Daily Supply","2018M02D10","2018 February 10","10","Networked gas supply - indigenous production","Gigawatt hours","111.634572"
