"STATISTIC","Statistic Label","TLIST(D1)","Day","C04132V04898","Network Gas Customer Type","UNIT","VALUE"
"NGSD02C01","Networked Gas Daily Demand","2018M01D27","2018 January 27","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","47.44801"
"NGSD02C01","Networked Gas Daily Demand","2018M01D27","2018 January 27","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","7.727914"
"NGSD02C01","Networked Gas Daily Demand","2018M01D27","2018 January 27","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","12.743547"
"NGSD02C01","Networked Gas Daily Demand","2018M01D27","2018 January 27","10","Power Plants","Gigawatt hours","53.817777"
"NGSD02C01","Networked Gas Daily Demand","2018M01D27","2018 January 27","-","All networked gas customers","Gigawatt hours","121.737248"
"NGSD02C01","Networked Gas Daily Demand","2018M01D28","2018 January 28","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","42.458003"
"NGSD02C01","Networked Gas Daily Demand","2018M01D28","2018 January 28","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","6.801449"
"NGSD02C01","Networked Gas Daily Demand","2018M01D28","2018 January 28","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","12.069676"
"NGSD02C01","Networked Gas Daily Demand","2018M01D28","2018 January 28","10","Power Plants","Gigawatt hours","60.649723"
"NGSD02C01","Networked Gas Daily Demand","2018M01D28","2018 January 28","-","All networked gas customers","Gigawatt hours","121.978851"
"NGSD02C01","Networked Gas Daily Demand","2018M01D29","2018 January 29","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","51.844693"
"NGSD02C01","Networked Gas Daily Demand","2018M01D29","2018 January 29","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","10.682585"
"NGSD02C01","Networked Gas Daily Demand","2018M01D29","2018 January 29","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","14.073928"
"NGSD02C01","Networked Gas Daily Demand","2018M01D29","2018 January 29","10","Power Plants","Gigawatt hours","100.755833"
"NGSD02C01","Networked Gas Daily Demand","2018M01D29","2018 January 29","-","All networked gas customers","Gigawatt hours","177.357039"
"NGSD02C01","Networked Gas Daily Demand","2018M01D30","2018 January 30","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","58.878896"
"NGSD02C01","Networked Gas Daily Demand","2018M01D30","2018 January 30","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","10.944666"
"NGSD02C01","Networked Gas Daily Demand","2018M01D30","2018 January 30","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","14.711332"
"NGSD02C01","Networked Gas Daily Demand","2018M01D30","2018 January 30","10","Power Plants","Gigawatt hours","76.901945"
"NGSD02C01","Networked Gas Daily Demand","2018M01D30","2018 January 30","-","All networked gas customers","Gigawatt hours","161.436839"
"NGSD02C01","Networked Gas Daily Demand","2018M01D31","2018 January 31","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","65.219889"
"NGSD02C01","Networked Gas Daily Demand","2018M01D31","2018 January 31","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","11.518841"
"NGSD02C01","Networked Gas Daily Demand","2018M01D31","2018 January 31","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","14.17843"
"NGSD02C01","Networked Gas Daily Demand","2018M01D31","2018 January 31","10","Power Plants","Gigawatt hours","60.885833"
"NGSD02C01","Networked Gas Daily Demand","2018M01D31","2018 January 31","-","All networked gas customers","Gigawatt hours","151.802993"
"NGSD02C01","Networked Gas Daily Demand","2018M02D01","2018 February 01","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","64.994871"
"NGSD02C01","Networked Gas Daily Demand","2018M02D01","2018 February 01","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","11.355663"
"NGSD02C01","Networked Gas Daily Demand","2018M02D01","2018 February 01","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","14.181212"
"NGSD02C01","Networked Gas Daily Demand","2018M02D01","2018 February 01","10","Power Plants","Gigawatt hours","68.603333"
"NGSD02C01","Networked Gas Daily Demand","2018M02D01","2018 February 01","-","All networked gas customers","Gigawatt hours","159.135079"
